n,MSE
1,0.18943061033413883
2,0.18943013349698062
3,0.09936717703950643
4,0.09936670020234822
5,0.06694423932777144
6,0.06694376249061322
7,0.050401846317080536
8,0.05040136947992234
9,0.04039465688665251
10,0.04039418004949431
11,0.03369557670611904
12,0.03369509986896084
13,0.028899148709081165
14,0.028898671871922958
15,0.025296458785204222
16,0.025295981948046012
17,0.022491561186541404
18,0.022491084349383197
19,0.020246057444212904
20,0.020245580607054704
21,0.0184078724831289
22,0.0184073956459707
23,0.016875446100032956
24,0.016874969262874753
25,0.01557837599200299
26,0.015577899154844786
27,0.014466324756739396
28,0.014465847919581193
29,0.013502349541856598
30,0.013501872704698395
31,0.012658725990090606
32,0.012658249152932404
33,0.011914242442609451
34,0.011913765605451248
35,0.011252394111416823
36,0.01125191727425862
37,0.010660146411722717
38,0.010659669574564512
39,0.01012706865442679
40,0.010126591817268587
41,0.009644714871116188
42,0.009644238033957985
43,0.009206173268239495
44,0.009205696431081292
45,0.00880573306531619
46,0.008805256228157986
47,0.008438634526834837
48,0.008438157689676633
49,0.008100878922652757
50,0.008100402085494554
51,0.007789082300776619
52,0.007788605463618416
53,0.007500361725745999
54,0.007499884888587797
55,0.007232245874138841
56,0.007231769036980639
57,0.006982604113213658
58,0.006982127276055455
59,0.006749589753585628
60,0.006749112916427425
61,0.006531594277859213
62,0.00653111744070101
63,0.006327210145987161
64,0.006326733308828958
65,0.006135200359299651
66,0.006134723522141448
67,0.005954473392609544
68,0.005953996555451341
69,0.005784062421429304
70,0.005783585584271101
71,0.005623108009615953
72,0.005622631172457751
73,0.0054708436031213475
74,0.0054703667659631436
75,0.005326583313197042
76,0.005326106476038839
77,0.005189711578324235
78,0.005189234741166032
79,0.005059674376242303
80,0.0050591975390841
81,0.004935971721539899
82,0.004935494884381696
83,0.004818151234636665
84,0.004817674397478462
85,0.004705802607811693
86,0.0047053257706534905
87,0.004598552825620231
88,0.004598075988462028
89,0.004496062022391279
90,0.004495585185233077
91,0.004398019879892119
92,0.004397543042733916
93,0.00430414248473561
94,0.0043036656475774066
95,0.00421416957850542
96,0.004213692741347218
97,0.004127862144513406
98,0.004127385307355203
99,0.004045000284074157
100,0.004044523446915954
101,0.003965381342570039
102,0.003964904505411836
103,0.0038888182516899415
104,0.003888341414531739
105,0.0038151380592977985
106,0.0038146612221395954
107,0.0037441806226144103
108,0.003743703785456207
109,0.003675797443932166
110,0.0036753206067739624
111,0.003609850631050079
112,0.0036093737938918758
113,0.003546211967115971
114,0.003545735129957768
115,0.0034847620766742643
116,0.0034842852395160617
117,0.003425389676507501
118,0.0034249128393492984
119,0.003367990901380919
120,0.003367514064222716
121,0.0033124686960962985
122,0.003311991858938096
123,0.0032587322663699208
124,0.003258255429211717
125,0.003206696581999783
126,0.0032062197448415796
127,0.0031562819266039354
128,0.0031558050894457323
129,0.0031074134889154063
130,0.0031069366517572036
131,0.003060020991226921
132,0.003059544154068718
133,0.0030140383511047
134,0.003013561513946497
135,0.0029694033729471036
136,0.0029689265357889004
137,0.002926057466360818
138,0.002925580629202615
139,0.0028839453886732288
140,0.0028834685515150256
141,0.002843015009201679
142,0.0028425381720434753
143,0.0028032170931646515
144,0.0028027402560064484
145,0.0027645051033516437
146,0.0027640282661934405
147,0.00272683501787208
148,0.002726358180713877
149,0.002690165162482737
150,0.0026896883253245333
151,0.002654456056151077
152,0.002653979218992874
153,0.002619670268651389
154,0.002619193431493186
155,0.002585772289113966
156,0.0025852954519557632
157,0.002552728404556928
158,0.0025522515673987245
159,0.0025205065875272908
160,0.002520029750369088
161,0.0024890763920641518
162,0.0024885995549059486
163,0.0024584088572736384
164,0.0024579320201154357
165,0.0024284764178737327
166,0.0024279995807155296
167,0.0023992528211281994
168,0.0023987759839699963
169,0.0023707130496435124
170,0.0023702362124853093
171,0.0023428332495516024
172,0.0023423564123933992
173,0.0023155906636451225
174,0.0023151138264869194
175,0.0022889635690713167
176,0.0022884867319131136
177,0.0022629312192259817
178,0.0022624543820677786
179,0.002237473789520877
180,0.0022369969523626737
181,0.0022125723267266495
182,0.0022120954895684455
183,0.0021882087016192407
184,0.0021877318644610375
185,0.002164365564681159
186,0.002163888727522956
187,0.0021410263046301326
188,0.0021405494674719295
189,0.0021181750095668286
190,0.002117698172408625
191,0.002095796430550686
192,0.002095319593392483
193,0.0020738759474286435
194,0.0020733991102704404
195,0.002052399536755854
196,0.002051922699597651
197,0.002031353741660478
198,0.0020308769045022748
199,0.002010725643516485
200,0.0020102488063582814
201,0.0019905028352991544
202,0.0019900259981409513
203,0.0019706733965078127
204,0.0019701965593496096
205,0.0019512258695492987
206,0.0019507490323910956
207,0.0019321492374838433
208,0.00193167240032564
209,0.0019134329030425453
210,0.0019129560658843422
211,0.0018950666688324772
212,0.001894589831674274
213,0.0018770407186517197
214,0.0018765638814935163
215,0.0018593455998424026
216,0.0018588687626841993
217,0.001841972206615086
218,0.0018414953694568827
219,0.0018249117642826767
220,0.0018244349271244733
221,0.001808155814346521
222,0.0018076789771883177
223,0.0017916962003814247
224,0.001791219363223222
225,0.0017755250546701
226,0.0017750482175118967
227,0.00175963478554103
228,0.001759157948382827
229,0.0017440180653669419
230,0.0017435412282087392
231,0.0017286678191840174
232,0.001728190982025814
233,0.0017135772138947049
234,0.0017131003767365015
235,0.0016987396480195242
236,0.001698262810861321
237,0.0016841487419655625
238,0.0016836719048073593
239,0.0016697983287815195
240,0.0016693214916233161
241,0.0016556824453711717
242,0.0016552056082129686
243,0.001641795324138936
244,0.0016413184869807328
245,0.001628131385042953
246,0.0016276545478847498
247,0.001614685228032685
248,0.0016142083908744814
249,0.0016014516258494934
250,0.00160097478869129
251,0.0015884255171700339
252,0.0015879486800118305
253,0.0015756020000735728
254,0.0015751251629153697
255,0.0015629763258155132
256,0.00156249948865731
257,0.0015505438928905132
258,0.0015500670557323099
259,0.0015383002413696032
260,0.0015378234042114
261,0.001526241047496665
262,0.0015257642103384617
263,0.0015143621185305155
264,0.0015138852813723126
265,0.001502659387819673
266,0.0015021825506614695
267,0.0014911289100976422
268,0.001490652072939439
269,0.0014797668569873014
270,0.0014792900198290985
271,0.00146856951270361
272,0.0014680926755454068
273,0.0014575332699445147
274,0.0014570564327863115
275,0.0014466546259605114
276,0.0014461777888023085
277,0.0014359301787938536
278,0.0014354533416356505
279,0.0014253566236789384
280,0.0014248797865207352
281,0.001414930749595858
282,0.0014144539124376547
283,0.001404649435969578
284,0.001404172598811375
285,0.0013945096495076009
286,0.0013940328123493977
287,0.0013845084411693927
288,0.0013840316040111896
289,0.001374642943261211
290,0.001374166106103008
291,0.0013649103666503173
292,0.001364433529492114
293,0.001355307998092891
294,0.0013548311609346876
295,0.0013458331976702726
296,0.0013453563605120697
297,0.0013364833963284393
298,0.001336006559170236
299,0.0013272560935158988
300,0.0013267792563576956
301,0.0013181488549154408
302,0.0013176720177572375
303,0.0013091593102654213
304,0.0013086824731072181
305,0.001300285151266485
306,0.0012998083141082823
307,0.001291524129569841
308,0.001291047292411638
309,0.0012828740548434109
310,0.0012823972176852075
311,0.0012743327929123532
312,0.0012738559557541503
313,0.0012658982639706497
314,0.0012654214268124464
315,0.0012575684408606019
316,0.0012570916037023985
317,0.0012493413474172553
318,0.0012488645102590524
319,0.0012412150568749023
320,0.0012407382197166992
321,0.0012331876903329685
322,0.0012327108531747654
323,0.0012252574152787213
324,0.001224780578120518
325,0.00121742244416435
326,0.0012169456070061468
327,0.0012096810330361077
