k,abs_c_k
1,0.17800516
2,0.113064654
3,0.07487847
4,0.022798767
4,0.022238286
6,0.021185843
7,0.017772391
8,0.013758941
9,0.01013563
9,0.010786291
11,0.01018909
12,0.010159158
12,0.00866245
14,0.0075377193
15,0.007918858
16,0.007266813
17,0.008071868
18,0.008572027
18,0.007163513
19,0.005556263
21,0.0066555436
22,0.0069910535
23,0.0068947976
24,0.0063138846
25,0.006005824
25,0.0061183716
26,0.0062776958
