n,MSE
82,1.000568166225762e-07
83,9.311598305551961e-08
84,9.311598305551962e-08
85,8.680487608078858e-08
86,8.680487608078856e-08
87,8.105361819073126e-08
88,8.105361819073126e-08
89,7.580143581747361e-08
90,7.58014358174736e-08
91,7.099530496456075e-08
92,7.099530496456075e-08
93,6.658882230387456e-08
94,6.658882230387458e-08
95,6.254126037612421e-08
96,6.25412603761242e-08
97,5.881677379497936e-08
98,5.881677379497936e-08
99,5.5383729837252884e-08
100,5.5383729837252884e-08
101,5.221414191413274e-08
102,5.221414191413275e-08
103,4.928318847157736e-08
104,4.928318847157736e-08
105,4.656880309610735e-08
106,4.656880309610735e-08
107,4.4051324185767586e-08
108,4.4051324185767586e-08
109,4.171319462242474e-08
110,4.171319462242473e-08
111,3.953870355777193e-08
112,3.953870355777194e-08
113,3.75137637841133e-08
114,3.75137637841133e-08
115,3.5625719266464016e-08
116,3.5625719266464016e-08
117,3.386317831568247e-08
118,3.386317831568247e-08
119,3.221586862266591e-08
120,3.2215868622665903e-08
121,3.067451098283215e-08
122,3.0674510982832146e-08
123,2.923070904296281e-08
124,2.9230709042962807e-08
125,2.787685281902919e-08
126,2.787685281902919e-08
127,2.6606034079688182e-08
128,2.6606034079688182e-08
129,2.54119719786293e-08
130,2.54119719786293e-08
131,2.428894756005324e-08
132,2.428894756005324e-08
133,2.3231745963748404e-08
134,2.3231745963748404e-08
135,2.223560532618355e-08
136,2.223560532618355e-08
137,2.129617151728998e-08
138,2.129617151728998e-08
139,2.040945797370663e-08
140,2.040945797370663e-08
141,1.957180999186462e-08
142,1.9571809991864623e-08
143,1.877987293141916e-08
144,1.877987293141916e-08
145,1.8030563853777904e-08
146,1.8030563853777904e-08
147,1.7321046183759885e-08
148,1.7321046183759885e-08
149,1.6648707036622083e-08
150,1.6648707036622083e-08
151,1.60111368991187e-08
152,1.60111368991187e-08
153,1.540611139313201e-08
154,1.540611139313201e-08
155,1.483157488477252e-08
156,1.483157488477252e-08
157,1.428562573146247e-08
158,1.4285625731462471e-08
159,1.376650298511629e-08
160,1.3766502985116288e-08
161,1.3272574391691663e-08
162,1.3272574391691663e-08
163,1.2802325546627614e-08
164,1.2802325546627614e-08
165,1.2354350082413187e-08
166,1.235435008241319e-08
167,1.1927340779040521e-08
168,1.1927340779040521e-08
169,1.1520081500842043e-08
170,1.1520081500842043e-08
171,1.1131439874258862e-08
172,1.1131439874258862e-08
173,1.0760360630822954e-08
174,1.0760360630822954e-08
175,1.040585954810211e-08
176,1.040585954810211e-08
