waveform,n_min_used,n_max_used,p_hat,r2
square,20,200,0.9961189880189146,0.9998103509624345
sawtooth,20,200,0.9958964058890742,0.9999832743863152
triangle,20,200,2.9570261023452318,0.9998174534438014
