n,MSE
1,0.13778595626354218
2,0.13773362338542938
3,0.0537494458258152
4,0.05374542623758316
5,0.007243754342198372
6,0.006944073364138603
7,0.0036891051568090916
8,0.001736386097036302
9,0.00140214036218822
10,0.0013233812060207129
11,0.0009322724654339254
12,0.0007048074039630592
13,0.0006206741672940552
14,0.00045175987179391086
15,0.00044845021329820156
16,0.00030915363458916545
17,9.230685100192204e-05
18,8.874945342540741e-05
19,5.332687578629702e-05
20,4.9038546421797946e-05
21,4.853044811170548e-05
22,4.77019784739241e-05
23,4.585583519656211e-05
24,4.575519051286392e-05
25,4.499256465351209e-05
26,4.4263095333008096e-05
27,4.387059379951097e-05
28,4.369071757537313e-05
29,4.369071757537313e-05
30,4.3185056711081415e-05
31,4.284082388039678e-05
32,4.21576332882978e-05
33,4.185422949376516e-05
34,4.1109124140348285e-05
35,4.033285949844867e-05
36,3.978236054535955e-05
37,3.975426807301119e-05
38,3.882007877109572e-05
39,3.866255428874865e-05
40,3.803781874012202e-05
41,3.7713703932240605e-05
42,3.736252256203443e-05
43,3.7258138036122546e-05
44,3.70140332961455e-05
45,3.617581387516111e-05
46,3.569921318558045e-05
47,3.4368618798907846e-05
48,3.140139961033128e-05
49,2.986404979310464e-05
50,2.9071559765725397e-05
51,2.8788774216081947e-05
52,2.596995727799367e-05
53,2.2543652448803186e-05
54,2.144163408956956e-05
55,2.1013724108343013e-05
56,1.9334134776727296e-05
57,1.8828684915206395e-05
58,1.8828684915206395e-05
59,1.7496546206530184e-05
60,1.7417547496734187e-05
61,1.74127835634863e-05
62,1.7015639969031326e-05
63,1.6940393834374845e-05
64,1.642955066927243e-05
65,1.6096442777779885e-05
66,1.5951442037476227e-05
67,1.5633571820217185e-05
68,1.4384552741830703e-05
69,1.3743997442361433e-05
70,1.3225956536189187e-05
71,1.1658766197797377e-05
72,1.104736020351993e-05
73,1.0123240826942492e-05
74,1.0048325748357456e-05
75,9.05372689885553e-06
76,8.082619388005696e-06
77,7.357970844168449e-06
78,7.265496151376283e-06
79,7.234917120513273e-06
80,6.184338872117223e-06
81,5.937896276009269e-06
82,5.722470632463228e-06
83,3.927526904590195e-06
84,3.5882205793313915e-06
85,3.2127024951478234e-06
86,3.1440506518265465e-06
87,3.0523674467985984e-06
88,2.6754073587653693e-06
89,2.582611386969802e-06
90,2.336921852474916e-06
91,2.280407898069825e-06
92,2.1837474832864245e-06
93,1.580656544319936e-06
94,1.2241393960721325e-06
95,1.1744220955733908e-06
96,4.744678960832971e-07
97,1.7277997699238767e-07
98,4.947196430293843e-08
99,3.391956937548457e-08
